sg_idx,case,sample_rank,recon_index,mat,node,row_type,matched_mse_mean,matched_mse_node,feat_bin_mse,case_recover_mse_mean,case_recover_mse_var,case_feat_bin_mse_mean,case_feat_bin_mse_var
0,case1_exact_pattern,8,8,[[0.0 0.0 7.0 0.0 0.0 0.0]; [0.0 1.0 3.0 0.0 0.0 1.0]; [4.0 0.0 0.0 6.0 0.0 0.0]; [3.0 6.0 0.0 0.0 3.0 6.0]],mean,sample_mean,1.757206808307212e-07,1.757206808307212e-07,0.08583333333333333,,,,
0,case1_exact_pattern,9,9,[[0.0 0.0 5.0 0.0 0.0 0.0]; [0.0 1.0 5.0 0.0 0.0 1.0]; [4.0 0.0 0.0 6.0 0.0 0.0]; [3.0 6.0 0.0 0.0 3.0 6.0]],2,node,2.907506416727776e-07,5.4838704260500586e-08,0.3433333333333333,,,,
0,case1_exact_pattern,9,9,[[0.0 0.0 5.0 0.0 0.0 0.0]; [0.0 1.0 5.0 0.0 0.0 1.0]; [4.0 0.0 0.0 6.0 0.0 0.0]; [3.0 6.0 0.0 0.0 3.0 6.0]],3,node,2.907506416727776e-07,6.031649473522479e-07,0.0,,,,
0,case1_exact_pattern,9,9,[[0.0 0.0 5.0 0.0 0.0 0.0]; [0.0 1.0 5.0 0.0 0.0 1.0]; [4.0 0.0 0.0 6.0 0.0 0.0]; [3.0 6.0 0.0 0.0 3.0 6.0]],6,node,2.907506416727776e-07,6.854672338656657e-35,0.0,,,,
0,case1_exact_pattern,9,9,[[0.0 0.0 5.0 0.0 0.0 0.0]; [0.0 1.0 5.0 0.0 0.0 1.0]; [4.0 0.0 0.0 6.0 0.0 0.0]; [3.0 6.0 0.0 0.0 3.0 6.0]],9,node,2.907506416727776e-07,5.04998915078362e-07,0.3883333333333333,,,,
0,case1_exact_pattern,9,9,[[0.0 0.0 5.0 0.0 0.0 0.0]; [0.0 1.0 5.0 0.0 0.0 1.0]; [4.0 0.0 0.0 6.0 0.0 0.0]; [3.0 6.0 0.0 0.0 3.0 6.0]],mean,sample_mean,2.907506416727776e-07,2.907506416727776e-07,0.18291666666666667,,,,
0,case1_exact_pattern,10,10,[[0.0 0.0 6.0 0.0 0.0 0.0]; [0.0 1.0 4.0 0.0 0.0 1.0]; [4.0 0.0 0.0 6.0 0.0 0.0]; [3.0 6.0 0.0 0.0 3.0 6.0]],2,node,2.1134395649243562e-07,5.483870426050059e-08,0.3433333333333333,,,,
0,case1_exact_pattern,10,10,[[0.0 0.0 6.0 0.0 0.0 0.0]; [0.0 1.0 4.0 0.0 0.0 1.0]; [4.0 0.0 0.0 6.0 0.0 0.0]; [3.0 6.0 0.0 0.0 3.0 6.0]],3,node,2.1134395649243562e-07,6.031649473522474e-07,0.0,,,,
0,case1_exact_pattern,10,10,[[0.0 0.0 6.0 0.0 0.0 0.0]; [0.0 1.0 4.0 0.0 0.0 1.0]; [4.0 0.0 0.0 6.0 0.0 0.0]; [3.0 6.0 0.0 0.0 3.0 6.0]],6,node,2.1134395649243562e-07,2.0952540979617706e-35,0.0,,,,
0,case1_exact_pattern,10,10,[[0.0 0.0 6.0 0.0 0.0 0.0]; [0.0 1.0 4.0 0.0 0.0 1.0]; [4.0 0.0 0.0 6.0 0.0 0.0]; [3.0 6.0 0.0 0.0 3.0 6.0]],9,node,2.1134395649243562e-07,1.8737217435699433e-07,0.3883333333333333,,,,
