sg_idx,case,sample_rank,recon_index,node,row_type,matched_mse_mean,matched_mse_node,cosine_similarity,case_mse_mean,case_mse_var,case_cosine_similarity_mean,case_cosine_similarity_var
0,case1_exact_pattern,25,25,9,node,4.157823199638467e-09,3.7387185382571764e-35,0.9999999999999754,,,,
0,case1_exact_pattern,25,25,mean,sample_mean,4.157823199638467e-09,4.157823199638467e-09,0.9936678145071116,,,,
0,case1_exact_pattern,26,26,2,node,2.4205811485576264e-09,4.835210914118378e-09,0.995317811445445,,,,
0,case1_exact_pattern,26,26,3,node,2.4205811485576264e-09,4.847113680112127e-09,0.9809362592740597,,,,
0,case1_exact_pattern,26,26,6,node,2.4205811485576264e-09,4.857308723120288e-35,0.9999999999999748,,,,
0,case1_exact_pattern,26,26,9,node,2.4205811485576264e-09,1.0332010544319934e-35,0.9999999999999747,,,,
0,case1_exact_pattern,26,26,mean,sample_mean,2.4205811485576264e-09,2.4205811485576264e-09,0.9940635176798636,,,,
0,case1_exact_pattern,27,27,2,node,1.7503466067071576e-09,2.1542727467165064e-09,0.9916546431285774,,,,
0,case1_exact_pattern,27,27,3,node,1.7503466067071576e-09,4.847113680112124e-09,0.9809362592740597,,,,
0,case1_exact_pattern,27,27,6,node,1.7503466067071576e-09,1.397435525587795e-34,0.9999999999999746,,,,
0,case1_exact_pattern,27,27,9,node,1.7503466067071576e-09,1.9730184378558345e-34,0.9999999999999749,,,,
0,case1_exact_pattern,27,27,mean,sample_mean,1.7503466067071576e-09,1.7503466067071576e-09,0.9931477256006467,,,,
0,case1_exact_pattern,28,28,2,node,1.0921068220054495e-08,3.022006821323983e-08,0.9850385888453091,,,,
0,case1_exact_pattern,28,28,3,node,1.0921068220054495e-08,1.3464204666978157e-08,0.8887166232949669,,,,
0,case1_exact_pattern,28,28,6,node,1.0921068220054495e-08,2.5678421484481418e-36,0.9999999999999746,,,,
0,case1_exact_pattern,28,28,9,node,1.0921068220054495e-08,8.822010428441249e-35,0.9999999999999747,,,,
0,case1_exact_pattern,28,28,mean,sample_mean,1.0921068220054495e-08,1.0921068220054495e-08,0.9684388030350564,,,,
0,case1_exact_pattern,29,29,2,node,6.665622266947265e-09,1.319828440081093e-08,0.9844317745524972,,,,
0,case1_exact_pattern,29,29,3,node,6.665622266947265e-09,1.346420466697813e-08,0.8887166232949667,,,,
0,case1_exact_pattern,29,29,6,node,6.665622266947265e-09,7.346641128253773e-35,0.9999999999999749,,,,
0,case1_exact_pattern,29,29,9,node,6.665622266947265e-09,4.554488044130699e-36,0.9999999999999751,,,,
0,case1_exact_pattern,29,29,mean,sample_mean,6.665622266947265e-09,6.665622266947265e-09,0.9682870994618535,,,,
0,case1_exact_pattern,30,30,2,node,4.86207390751989e-09,5.984090963101408e-09,0.9814283113858701,,,,
0,case1_exact_pattern,30,30,3,node,4.86207390751989e-09,1.3464204666978152e-08,0.8887166232949661,,,,
0,case1_exact_pattern,30,30,6,node,4.86207390751989e-09,8.861123250278142e-35,0.9999999999999749,,,,
0,case1_exact_pattern,30,30,9,node,4.86207390751989e-09,1.371266989873514e-34,0.9999999999999754,,,,
0,case1_exact_pattern,30,30,mean,sample_mean,4.86207390751989e-09,4.86207390751989e-09,0.9675362336701965,,,,
0,case2_zero_count,1,7,2,node,6.687665174676329e-05,3.13530190048294e-05,0.2571228898478586,,,,
0,case2_zero_count,1,7,3,node,6.687665174676329e-05,6.377285255641907e-06,0.08411434812643487,,,,
0,case2_zero_count,1,7,6,node,6.687665174676329e-05,0.00022977268785590764,0.022996649384796113,,,,
0,case2_zero_count,1,7,9,node,6.687665174676329e-05,3.6148706742471996e-09,0.8823822372913745,,,,
0,case2_zero_count,1,7,mean,sample_mean,6.687665174676329e-05,6.687665174676329e-05,0.31165403116261603,,,,
0,case2_zero_count,2,45,2,node,2.3917848825227635e-06,9.513689995283523e-06,0.913058499285598,,,,
0,case2_zero_count,2,45,3,node,2.3917848825227635e-06,2.2257154653576113e-08,0.6698106174742522,,,,
0,case2_zero_count,2,45,6,node,2.3917848825227635e-06,1.9252309898821175e-35,0.9999999999999746,,,,
0,case2_zero_count,2,45,9,node,2.3917848825227635e-06,3.119238015395339e-08,0.7435841859456324,,,,
0,case2_zero_count,2,45,mean,sample_mean,2.3917848825227635e-06,2.3917848825227635e-06,0.8316133256763644,,,,
0,case2_zero_count,3,47,2,node,6.958305452175098e-08,2.2488268327947487e-07,0.9628459041182185,,,,
0,case2_zero_count,3,47,3,node,6.958305452175098e-08,2.22571546535761e-08,0.6698106174742544,,,,
0,case2_zero_count,3,47,6,node,6.958305452175098e-08,2.531211859919115e-35,0.9999999999999749,,,,
0,case2_zero_count,3,47,9,node,6.958305452175098e-08,3.119238015395294e-08,0.7435841859456364,,,,
0,case2_zero_count,3,47,mean,sample_mean,6.958305452175098e-08,6.958305452175098e-08,0.8440601768845211,,,,
0,case2_zero_count,4,72,2,node,1.2839408527597508e-07,4.83521091411836e-07,0.9599228971439226,,,,
0,case2_zero_count,4,72,3,node,1.2839408527597508e-07,2.2257154653576143e-08,0.6698106174742509,,,,
0,case2_zero_count,4,72,6,node,1.2839408527597508e-07,7.79809503848828e-09,0.8888505383474933,,,,
0,case2_zero_count,4,72,9,node,1.2839408527597508e-07,2.2271877847793775e-34,0.9999999999999751,,,,
0,case2_zero_count,4,72,mean,sample_mean,1.2839408527597508e-07,1.2839408527597508e-07,0.8796460132414105,,,,
0,case2_zero_count,5,81,2,node,5.1949639986399034e-05,4.9682068738321e-05,0.036297609511712056,,,,
0,case2_zero_count,5,81,3,node,5.1949639986399034e-05,2.1810290808471758e-05,0.07033313439947086,,,,
0,case2_zero_count,5,81,6,node,5.1949639986399034e-05,0.0001363025855281291,0.014063478941890481,,,,
0,case2_zero_count,5,81,9,node,5.1949639986399034e-05,3.6148706742471483e-09,0.8823822372913759,,,,
0,case2_zero_count,5,81,mean,sample_mean,5.1949639986399034e-05,5.1949639986399034e-05,0.2507691150361123,,,,
0,case2_zero_count,6,82,2,node,7.008255393804329e-05,0.00017612198862144605,-0.03325263222548002,,,,
0,case2_zero_count,6,82,3,node,7.008255393804329e-05,1.4377099112396373e-05,0.06921813990434031,,,,
0,case2_zero_count,6,82,6,node,7.008255393804329e-05,8.982751314765651e-05,0.011507005784284605,,,,
0,case2_zero_count,6,82,9,node,7.008255393804329e-05,3.6148706742471657e-09,0.8823822372913754,,,,
0,case2_zero_count,6,82,mean,sample_mean,7.008255393804329e-05,7.008255393804329e-05,0.23246368768863007,,,,
0,case2_zero_count,7,95,2,node,3.8691964290703814e-08,1.01318322355286e-07,0.9615951565758921,,,,
0,case2_zero_count,7,95,3,node,3.8691964290703814e-08,2.22571546535761e-08,0.6698106174742513,,,,
0,case2_zero_count,7,95,6,node,3.8691964290703814e-08,9.201647167567156e-35,0.9999999999999751,,,,
0,case2_zero_count,7,95,9,node,3.8691964290703814e-08,3.119238015395317e-08,0.7435841859456364,,,,
0,case2_zero_count,7,95,mean,sample_mean,3.8691964290703814e-08,3.8691964290703814e-08,0.8437474899989388,,,,
0,case2_zero_count,8,100,2,node,4.836915142457918e-07,1.8813165221756373e-06,0.9150037596067149,,,,
0,case2_zero_count,8,100,3,node,4.836915142457918e-07,2.2257154653576073e-08,0.66981061747425,,,,
0,case2_zero_count,8,100,6,node,4.836915142457918e-07,1.7294679436458698e-35,0.9999999999999744,,,,
0,case2_zero_count,8,100,9,node,4.836915142457918e-07,3.119238015395365e-08,0.7435841859456367,,,,
0,case2_zero_count,8,100,mean,sample_mean,4.836915142457918e-07,4.836915142457918e-07,0.8320996407566439,,,,
0,case2_zero_count,9,105,2,node,5.538051623547022e-05,9.042091652272288e-06,0.043579356489882086,,,,
0,case2_zero_count,9,105,3,node,5.538051623547022e-05,5.764426452942644e-06,0.05661870972555654,,,,
0,case2_zero_count,9,105,6,node,5.538051623547022e-05,0.00020671193196599168,0.007736277702422948,,,,
0,case2_zero_count,9,105,9,node,5.538051623547022e-05,3.614870674247169e-09,0.8823822372913753,,,,
