sg_idx,case,sample_rank,recon_index,node,row_type,matched_mse_mean,matched_mse_node,ssim,psnr,case_mse_mean,case_mse_var,case_ssim_mean,case_ssim_var,case_psnr_mean,case_psnr_var
0,case1_exact_pattern,25,25,2,node,4.1511053871215845e-11,1.35754917350223e-10,0.6222495066879857,18.499356369334,,,,,,
0,case1_exact_pattern,25,25,3,node,4.1511053871215845e-11,3.0289298134640384e-11,0.504904963039731,19.273358755345015,,,,,,
0,case1_exact_pattern,25,25,6,node,4.1511053871215845e-11,8.787145689842273e-35,0.6287437172094653,21.02428151284954,,,,,,
0,case1_exact_pattern,25,25,9,node,4.1511053871215845e-11,3.688546944628708e-35,0.6241609980723533,19.277806272397267,,,,,,
0,case1_exact_pattern,25,25,mean,sample_mean,4.1511053871215845e-11,4.1511053871215845e-11,0.5950147962523837,19.518700727481455,,,,,,
0,case1_exact_pattern,26,26,2,node,1.4997370628813865e-11,2.9700184380614804e-11,0.6436055034995251,18.805547409021848,,,,,,
0,case1_exact_pattern,26,26,3,node,1.4997370628813865e-11,3.0289298134640655e-11,0.5468020771659705,19.748488280838302,,,,,,
0,case1_exact_pattern,26,26,6,node,1.4997370628813865e-11,4.87949624976505e-35,0.6457454220997634,21.693967312624928,,,,,,
0,case1_exact_pattern,26,26,9,node,1.4997370628813865e-11,9.684802067060709e-36,0.7108303134872697,21.395977642924088,,,,,,
0,case1_exact_pattern,26,26,mean,sample_mean,1.4997370628813865e-11,1.4997370628813865e-11,0.6367458290631322,20.41099516135229,,,,,,
0,case1_exact_pattern,27,27,2,node,1.093780210417573e-11,1.3461910282062238e-11,0.709558893221479,19.80345935378869,,,,,,
0,case1_exact_pattern,27,27,3,node,1.093780210417573e-11,3.028929813464068e-11,0.6070618370148179,20.457505334447685,,,,,,
0,case1_exact_pattern,27,27,6,node,1.093780210417573e-11,1.3918737182171564e-34,0.701340248495215,22.326447110595343,,,,,,
0,case1_exact_pattern,27,27,9,node,1.093780210417573e-11,1.965175611641158e-34,0.7334981722776938,22.073422942008868,,,,,,
0,case1_exact_pattern,27,27,mean,sample_mean,1.093780210417573e-11,1.093780210417573e-11,0.6878647877523014,21.165208685210146,,,,,,
