num_nodes,mean_degree,trial,topology,graph_seed,num_edges,mean_degree_observed,degree_std,average_clustering,average_shortest_path
100,4,76,ring,2521365341,200,4.0,0.0,0.5,12.878787878787879
100,4,76,small_world,3380751216,200,4.0,0.6633249580710799,0.3836666666666668,4.803636363636364
100,4,76,scale_free,620144540,200,4.0,3.423448553724738,0.061029276279276276,3.0802020202020204
100,4,77,er,3381048824,200,4.0,1.8547236990991407,0.04631746031746032,3.463030303030303
100,4,77,ring,3781762990,200,4.0,0.0,0.5,12.878787878787879
100,4,77,small_world,3395876865,200,4.0,0.6,0.37300000000000005,5.21050505050505
100,4,77,scale_free,1035956462,200,4.0,3.954743986657038,0.15195087687248812,2.9604040404040406
100,4,78,er,4241891780,200,4.0,1.9544820285692064,0.0572142857142857,3.4985858585858587
100,4,78,ring,3885133955,200,4.0,0.0,0.5,12.878787878787879
100,4,78,small_world,422662785,200,4.0,0.5099019513592785,0.41233333333333344,5.352727272727273
100,4,78,scale_free,1442999101,200,4.0,4.352011029397789,0.2070829019977093,2.906262626262626
100,4,79,er,1678394292,200,4.0,1.6733200530681511,0.029333333333333336,3.430909090909091
100,4,79,ring,2645010587,200,4.0,0.0,0.5,12.878787878787879
100,4,79,small_world,479117501,200,4.0,0.5830951894845301,0.38333333333333336,4.891717171717172
100,4,79,scale_free,1754996880,200,4.0,4.019950248448356,0.14363569441830312,2.9315151515151516
100,4,80,er,1455510061,200,4.0,1.944222209522358,0.05458513708513709,3.4634343434343435
100,4,80,ring,2430957323,200,4.0,0.0,0.5,12.878787878787879
100,4,80,small_world,1838421101,200,4.0,0.6164414002968976,0.3936666666666669,5.32060606060606
100,4,80,scale_free,3606551142,200,4.0,4.5563142999578075,0.1626249666936166,2.8626262626262626
100,4,81,er,1006120050,200,4.0,1.98997487421324,0.03497619047619047,3.4337373737373738
100,4,81,ring,266388491,200,4.0,0.0,0.5,12.878787878787879
100,4,81,small_world,1820647164,200,4.0,0.648074069840786,0.345,4.881212121212121
100,4,81,scale_free,2467483771,200,4.0,3.9140771581561853,0.1281490438974286,2.9402020202020203
100,4,82,er,2459347628,200,4.0,2.0149441679609885,0.05938311688311689,3.4016161616161615
100,4,82,ring,2256739528,200,4.0,0.0,0.5,12.878787878787879
100,4,82,small_world,3049460651,200,4.0,0.6324555320336759,0.38299999999999995,5.111717171717172
100,4,82,scale_free,3081141807,200,4.0,3.794733192202055,0.10065940921823274,2.9725252525252523
100,4,83,er,2046094729,200,4.0,1.7888543819998317,0.039974025974025974,3.4812121212121214
100,4,83,ring,3666836832,200,4.0,0.0,0.5,12.878787878787879
100,4,83,small_world,1784973660,200,4.0,0.648074069840786,0.3893333333333333,4.893939393939394
100,4,83,scale_free,76376285,200,4.0,3.2526911934581184,0.08184914208598418,3.0735353535353536
100,4,84,er,97102845,200,4.0,1.7435595774162693,0.06679365079365078,3.46
100,4,84,ring,3683527304,200,4.0,0.0,0.5,12.878787878787879
100,4,84,small_world,1280329857,200,4.0,0.5291502622129182,0.3856666666666667,5.281818181818182
100,4,84,scale_free,3922822984,200,4.0,3.8131351929875237,0.1216523019464196,2.9826262626262627
100,4,85,er,2009440921,200,4.0,1.8384776310850235,0.016166666666666666,3.4486868686868686
100,4,85,ring,63052487,200,4.0,0.0,0.5,12.878787878787879
100,4,85,small_world,773162207,200,4.0,0.7071067811865476,0.35100000000000003,4.654949494949495
100,4,85,scale_free,1029676804,200,4.0,3.388214869219483,0.09535099803578065,3.0646464646464646
100,4,86,er,1333309919,200,4.0,1.98997487421324,0.02011904761904762,3.446262626262626
100,4,86,ring,3777017132,200,4.0,0.0,0.5,12.878787878787879
100,4,86,small_world,2951017777,200,4.0,0.6,0.39433333333333354,4.963636363636364
100,4,86,scale_free,3019334989,200,4.0,3.652396473549935,0.11245249720441537,3.021010101010101
100,4,87,er,1370956843,200,4.0,1.8814887722226779,0.018500000000000003,3.481818181818182
100,4,87,ring,2227858996,200,4.0,0.0,0.5,12.878787878787879
100,4,87,small_world,2432433098,200,4.0,0.565685424949238,0.3779999999999999,5.196565656565657
100,4,87,scale_free,101372963,200,4.0,3.6359317925395684,0.09643650793650792,3.0109090909090908
100,4,88,er,869421608,200,4.0,1.944222209522358,0.053396825396825394,3.461010101010101
100,4,88,ring,1737701850,200,4.0,0.0,0.5,12.878787878787879
100,4,88,small_world,2631435567,200,4.0,0.6164414002968976,0.376,5.027676767676768
100,4,88,scale_free,3859138114,200,4.0,3.736308338453881,0.16693890417574628,3.023030303030303
100,4,89,er,1773741775,200,4.0,1.9287301521985911,0.034746031746031754,3.4004040404040405
100,4,89,ring,2388989325,200,4.0,0.0,0.5,12.878787878787879
100,4,89,small_world,1007330417,200,4.0,0.5099019513592785,0.38433333333333314,5.552525252525252
100,4,89,scale_free,2233862453,200,4.0,3.5832945734337835,0.09246031746031745,2.995959595959596
100,4,90,er,4003115600,200,4.0,1.5874507866387544,0.030880952380952384,3.500808080808081
100,4,90,ring,219115270,200,4.0,0.0,0.5,12.878787878787879
100,4,90,small_world,1094295390,200,4.0,0.6633249580710799,0.3559999999999999,4.707272727272727
100,4,90,scale_free,4210508928,200,4.0,3.4,0.12119003701612396,3.0597979797979797
100,4,91,er,600513330,200,4.0,1.944222209522358,0.032317460317460314,3.4256565656565656
100,4,91,ring,273024748,200,4.0,0.0,0.5,12.878787878787879
100,4,91,small_world,3026813765,200,4.0,0.7211102550927979,0.36466666666666664,4.75939393939394
100,4,91,scale_free,527868810,200,4.0,3.8157568056677826,0.10452583098016534,2.9767676767676767
100,4,92,er,801750291,200,4.0,1.8814887722226779,0.018571428571428572,3.456969696969697
