num_nodes,mean_degree,corrupt_ratio,topology,metric,trials,alternative_mean,er_mean,paired_mean_difference,ci_low,ci_high,equivalence_margin,equivalent_within_margin,direction
200,4,0.6,ring,hssp_rank_attackable_rate,100,0.4721250000000001,0.263625,0.2085,0.12936874999999998,0.28076562499999996,0.05,False,higher_than_er
200,4,0.6,ring,hlcp_rank_attackable_rate,100,0.4721250000000001,0.27125,0.200875,0.12224687499999999,0.27613124999999994,0.05,False,higher_than_er
200,4,0.6,ring,hssp_tractable_attackable_rate,100,0.3798749999999999,0.07712500000000001,0.30275,0.27337187500000004,0.33275,0.05,False,higher_than_er
200,4,0.6,ring,max_core_fraction,100,0.220875,0.8337499999999999,-0.6128750000000001,-0.63075,-0.594625,0.05,False,lower_than_er
200,4,0.7,ring,direct_recovery_rate,100,0.05616666666666666,0.08183333333333334,-0.025666666666666667,-0.03383333333333333,-0.017666666666666667,0.05,True,lower_than_er
200,4,0.7,ring,hssp_eligible_rate,100,0.9161666666666668,0.8648333333333333,0.0513333333333333,0.036499999999999984,0.06583749999999994,0.05,False,higher_than_er
200,4,0.7,ring,hssp_rank_attackable_rate,100,0.8041666666666667,0.7585,0.045666666666666675,-0.026841666666666642,0.12649999999999997,0.05,False,overlaps_er
200,4,0.7,ring,hlcp_rank_attackable_rate,100,0.8041666666666667,0.7585,0.045666666666666675,-0.024841666666666654,0.11817083333333332,0.05,False,overlaps_er
200,4,0.7,ring,hssp_tractable_attackable_rate,100,0.7111666666666666,0.11750000000000002,0.5936666666666667,0.561,0.6258374999999999,0.05,False,higher_than_er
200,4,0.7,ring,max_core_fraction,100,0.19033333333333335,0.8284999999999999,-0.6381666666666667,-0.6528333333333333,-0.6213333333333334,0.05,False,lower_than_er
200,4,0.8,ring,direct_recovery_rate,100,0.17525,0.1485,0.026750000000000003,0.013250000000000001,0.04075624999999997,0.05,True,higher_than_er
200,4,0.8,ring,hssp_eligible_rate,100,0.8204999999999998,0.8235000000000002,-0.0030000000000000005,-0.017750000000000002,0.011499999999999996,0.05,True,overlaps_er
200,4,0.8,ring,hssp_rank_attackable_rate,100,0.9555000000000001,0.9574999999999999,-0.001999999999999986,-0.026506249999999978,0.027006249999999975,0.05,True,overlaps_er
200,4,0.8,ring,hlcp_rank_attackable_rate,100,0.9555000000000001,0.9574999999999999,-0.001999999999999986,-0.026999999999999982,0.026000000000000006,0.05,True,overlaps_er
200,4,0.8,ring,hssp_tractable_attackable_rate,100,0.94725,0.24050000000000005,0.7067500000000002,0.676,0.7357562500000001,0.05,False,higher_than_er
200,4,0.8,ring,max_core_fraction,100,0.16625,0.7285,-0.5622499999999999,-0.5895000000000001,-0.5357374999999999,0.05,False,lower_than_er
200,4,0.9,ring,direct_recovery_rate,100,0.451,0.316,0.135,0.1019875,0.169,0.05,False,higher_than_er
200,4,0.9,ring,hssp_eligible_rate,100,0.5485,0.6739999999999998,-0.1255,-0.1595125,-0.08999999999999998,0.05,False,lower_than_er
200,4,0.9,ring,hssp_rank_attackable_rate,100,0.998,0.9900000000000001,0.008000000000000007,0.001500000000000008,0.01350000000000001,0.05,True,higher_than_er
200,4,0.9,ring,hlcp_rank_attackable_rate,100,0.998,0.9900000000000001,0.008000000000000007,0.001987500000000004,0.014000000000000007,0.05,True,higher_than_er
200,4,0.9,ring,hssp_tractable_attackable_rate,100,0.998,0.772,0.22600000000000006,0.166,0.287,0.05,False,higher_than_er
200,4,0.9,ring,max_core_fraction,100,0.17449999999999996,0.4505000000000001,-0.27599999999999997,-0.3130125,-0.23850000000000005,0.05,False,lower_than_er
100,4,0.1,small_world,direct_recovery_rate,100,0.0003333333333333333,0.006888888888888889,-0.006555555555555556,-0.00844722222222222,-0.004666666666666667,0.05,True,lower_than_er
100,4,0.1,small_world,hssp_eligible_rate,100,0.00022222222222222223,0.0,0.00022222222222222223,0.0,0.0006666666666666666,0.05,True,overlaps_er
100,4,0.1,small_world,hssp_rank_attackable_rate,100,0.0003333333333333333,0.006888888888888889,-0.006555555555555556,-0.008444444444444444,-0.004666666666666667,0.05,True,lower_than_er
100,4,0.1,small_world,hlcp_rank_attackable_rate,100,0.0003333333333333333,0.006888888888888889,-0.006555555555555556,-0.008444444444444444,-0.004777777777777778,0.05,True,lower_than_er
100,4,0.1,small_world,hssp_tractable_attackable_rate,100,0.0003333333333333333,0.006888888888888889,-0.006555555555555556,-0.008444444444444444,-0.004666666666666667,0.05,True,lower_than_er
100,4,0.1,small_world,max_core_fraction,100,0.00022222222222222223,0.0,0.00022222222222222223,0.0,0.0006666666666666666,0.05,True,overlaps_er
100,4,0.2,small_world,direct_recovery_rate,100,0.0011250000000000001,0.013499999999999998,-0.012375,-0.015125000000000001,-0.00975,0.05,True,lower_than_er
100,4,0.2,small_world,hssp_eligible_rate,100,0.002125,0.0005,0.0016250000000000001,-0.00025,0.004,0.05,True,overlaps_er
100,4,0.2,small_world,hssp_rank_attackable_rate,100,0.0032500000000000003,0.014000000000000002,-0.01075,-0.014249999999999999,-0.007125,0.05,True,lower_than_er
100,4,0.2,small_world,hlcp_rank_attackable_rate,100,0.0032500000000000003,0.014000000000000002,-0.01075,-0.014000000000000002,-0.007374999999999998,0.05,True,lower_than_er
100,4,0.2,small_world,hssp_tractable_attackable_rate,100,0.0032500000000000003,0.014000000000000002,-0.01075,-0.014000000000000002,-0.0072499999999999995,0.05,True,lower_than_er
100,4,0.2,small_world,max_core_fraction,100,0.0016250000000000001,0.0005,0.0011250000000000001,-0.00025,0.003,0.05,True,overlaps_er
100,4,0.3,small_world,direct_recovery_rate,100,0.004,0.021571428571428575,-0.017571428571428575,-0.021142857142857144,-0.013999999999999999,0.05,True,lower_than_er
100,4,0.3,small_world,hssp_eligible_rate,100,0.012428571428571431,0.0037142857142857142,0.008714285714285714,0.0032857142857142863,0.014428571428571428,0.05,True,higher_than_er
100,4,0.3,small_world,hssp_rank_attackable_rate,100,0.013142857142857144,0.025285714285714286,-0.012142857142857144,-0.017714285714285717,-0.006428571428571428,0.05,True,lower_than_er
100,4,0.3,small_world,hlcp_rank_attackable_rate,100,0.013571428571428573,0.025285714285714286,-0.011714285714285715,-0.01742857142857143,-0.005857142857142856,0.05,True,lower_than_er
100,4,0.3,small_world,hssp_tractable_attackable_rate,100,0.013142857142857144,0.025285714285714286,-0.012142857142857144,-0.018,-0.006428571428571428,0.05,True,lower_than_er
100,4,0.3,small_world,max_core_fraction,100,0.010714285714285714,0.0034285714285714284,0.007285714285714285,0.0027142857142857147,0.011714285714285715,0.05,True,higher_than_er
100,4,0.4,small_world,direct_recovery_rate,100,0.008166666666666668,0.03166666666666666,-0.023499999999999997,-0.02883333333333333,-0.018166666666666668,0.05,True,lower_than_er
100,4,0.4,small_world,hssp_eligible_rate,100,0.04083333333333333,0.005666666666666666,0.035166666666666666,0.02416666666666667,0.047333333333333324,0.05,True,higher_than_er
100,4,0.4,small_world,hssp_rank_attackable_rate,100,0.033333333333333326,0.03733333333333333,-0.004000000000000001,-0.013666666666666667,0.006000000000000001,0.05,True,overlaps_er
100,4,0.4,small_world,hlcp_rank_attackable_rate,100,0.033333333333333326,0.03733333333333333,-0.004000000000000001,-0.014004166666666668,0.006166666666666667,0.05,True,overlaps_er
100,4,0.4,small_world,hssp_tractable_attackable_rate,100,0.033333333333333326,0.03733333333333333,-0.004000000000000001,-0.014000000000000002,0.005999999999999998,0.05,True,overlaps_er
100,4,0.4,small_world,max_core_fraction,100,0.030999999999999996,0.004666666666666667,0.026333333333333334,0.018329166666666664,0.035166666666666666,0.05,True,higher_than_er
100,4,0.5,small_world,direct_recovery_rate,100,0.0164,0.045200000000000004,-0.0288,-0.035,-0.022000000000000002,0.05,True,lower_than_er
100,4,0.5,small_world,hssp_eligible_rate,100,0.4914,0.5344,-0.043,-0.1242,0.051219999999999884,0.05,False,overlaps_er
100,4,0.5,small_world,hssp_rank_attackable_rate,100,0.09840000000000002,0.06280000000000001,0.03559999999999999,0.004594999999999996,0.0632,0.05,False,higher_than_er
100,4,0.5,small_world,hlcp_rank_attackable_rate,100,0.09920000000000004,0.07120000000000001,0.027999999999999997,-0.0053999999999999986,0.05960000000000001,0.05,False,overlaps_er
100,4,0.5,small_world,hssp_tractable_attackable_rate,100,0.0818,0.0546,0.0272,0.009200000000000003,0.044399999999999995,0.05,True,higher_than_er
100,4,0.5,small_world,max_core_fraction,100,0.4100000000000001,0.5274,-0.11740000000000002,-0.20619999999999997,-0.026395000000000016,0.05,False,lower_than_er
100,4,0.6,small_world,direct_recovery_rate,100,0.024249999999999997,0.061750000000000006,-0.0375,-0.04625,-0.028993750000000033,0.05,True,lower_than_er
100,4,0.6,small_world,hssp_eligible_rate,100,0.9067500000000002,0.8532500000000001,0.053499999999999985,0.023487499999999994,0.08200624999999995,0.05,False,higher_than_er
100,4,0.6,small_world,hssp_rank_attackable_rate,100,0.3322500000000001,0.48275000000000007,-0.15050000000000005,-0.24551875000000006,-0.055993750000000043,0.05,False,lower_than_er
100,4,0.6,small_world,hlcp_rank_attackable_rate,100,0.3432500000000001,0.50125,-0.15800000000000003,-0.25750625,-0.06175000000000001,0.05,False,lower_than_er
100,4,0.6,small_world,hssp_tractable_attackable_rate,100,0.17999999999999997,0.07775,0.10225,0.07224375000000001,0.13449999999999998,0.05,False,higher_than_er
100,4,0.6,small_world,max_core_fraction,100,0.6725,0.8357499999999999,-0.16325000000000003,-0.21325,-0.11549999999999999,0.05,False,lower_than_er
