num_nodes,mean_degree,topology,corrupt_ratio,core_honest_size,count,probability
100,4,scale_free,0.9,7,16,0.09248554913294797
100,4,scale_free,0.9,8,15,0.08670520231213873
100,4,scale_free,0.9,9,8,0.046242774566473986
100,4,scale_free,0.9,10,9,0.05202312138728324
100,4,small_world,0.1,2,1,1.0
100,4,small_world,0.2,2,5,0.7142857142857143
100,4,small_world,0.2,3,1,0.14285714285714285
100,4,small_world,0.2,4,1,0.14285714285714285
100,4,small_world,0.3,2,17,0.5483870967741935
100,4,small_world,0.3,3,7,0.22580645161290322
100,4,small_world,0.3,4,5,0.16129032258064516
100,4,small_world,0.3,6,2,0.06451612903225806
100,4,small_world,0.4,2,43,0.5584415584415584
100,4,small_world,0.4,3,15,0.19480519480519481
100,4,small_world,0.4,4,6,0.07792207792207792
100,4,small_world,0.4,5,3,0.03896103896103896
100,4,small_world,0.4,6,4,0.05194805194805195
100,4,small_world,0.4,7,3,0.03896103896103896
100,4,small_world,0.4,9,2,0.025974025974025976
100,4,small_world,0.4,12,1,0.012987012987012988
100,4,small_world,0.5,2,49,0.25925925925925924
100,4,small_world,0.5,3,18,0.09523809523809523
100,4,small_world,0.5,4,18,0.09523809523809523
100,4,small_world,0.5,5,8,0.042328042328042326
100,4,small_world,0.5,6,13,0.06878306878306878
100,4,small_world,0.5,7,11,0.0582010582010582
100,4,small_world,0.5,8,1,0.005291005291005291
100,4,small_world,0.5,9,1,0.005291005291005291
100,4,small_world,0.5,10,3,0.015873015873015872
100,4,small_world,0.5,11,5,0.026455026455026454
100,4,small_world,0.5,12,3,0.015873015873015872
100,4,small_world,0.5,13,3,0.015873015873015872
100,4,small_world,0.5,14,1,0.005291005291005291
100,4,small_world,0.5,16,1,0.005291005291005291
100,4,small_world,0.5,17,1,0.005291005291005291
100,4,small_world,0.5,18,1,0.005291005291005291
100,4,small_world,0.5,19,4,0.021164021164021163
100,4,small_world,0.5,20,1,0.005291005291005291
100,4,small_world,0.5,21,1,0.005291005291005291
100,4,small_world,0.5,22,1,0.005291005291005291
100,4,small_world,0.5,25,1,0.005291005291005291
100,4,small_world,0.5,27,2,0.010582010582010581
100,4,small_world,0.5,28,4,0.021164021164021163
100,4,small_world,0.5,30,1,0.005291005291005291
100,4,small_world,0.5,31,3,0.015873015873015872
100,4,small_world,0.5,32,3,0.015873015873015872
100,4,small_world,0.5,33,1,0.005291005291005291
100,4,small_world,0.5,34,2,0.010582010582010581
100,4,small_world,0.5,35,3,0.015873015873015872
100,4,small_world,0.5,36,1,0.005291005291005291
