num_nodes,mean_degree,topology,corrupt_ratio,direct_recovery_rate_mean,direct_recovery_rate_ci_low,direct_recovery_rate_ci_high,hssp_eligible_rate_mean,hssp_eligible_rate_ci_low,hssp_eligible_rate_ci_high,structural_attackable_rate_mean,structural_attackable_rate_ci_low,structural_attackable_rate_ci_high,hssp_rank_attackable_rate_mean,hssp_rank_attackable_rate_ci_low,hssp_rank_attackable_rate_ci_high,hlcp_rank_attackable_rate_mean,hlcp_rank_attackable_rate_ci_low,hlcp_rank_attackable_rate_ci_high,hssp_tractable_attackable_rate_mean,hssp_tractable_attackable_rate_ci_low,hssp_tractable_attackable_rate_ci_high,hlcp_tractable_attackable_rate_mean,hlcp_tractable_attackable_rate_ci_low,hlcp_tractable_attackable_rate_ci_high,max_core_fraction_mean,max_core_fraction_ci_low,max_core_fraction_ci_high,hssp_feasible_core_probability_mean,hssp_feasible_core_probability_ci_low,hssp_feasible_core_probability_ci_high,hlcp_feasible_core_probability_mean,hlcp_feasible_core_probability_ci_low,hlcp_feasible_core_probability_ci_high,eligible_core_count_mean,eligible_core_count_ci_low,eligible_core_count_ci_high,max_core_honest_size_mean,max_core_honest_size_ci_low,max_core_honest_size_ci_high
100,4,scale_free,0.3,0.022,0.018660330869833076,0.02533966913016692,0.0051428571428571435,0.002177478464328766,0.00810823582138552,0.02714285714285714,0.022613982329980648,0.031671731955733626,0.02714285714285714,0.022613982329980648,0.031671731955733626,0.02714285714285714,0.022613982329980648,0.031671731955733626,0.02714285714285714,0.022613982329980648,0.031671731955733626,0.02714285714285714,0.022613982329980648,0.031671731955733626,0.004571428571428572,0.0020268792374341783,0.007115977905422965,0.12,0.05598666805526627,0.18401333194473374,0.12,0.05598666805526627,0.18401333194473374,0.14,0.061106603059520384,0.21889339694047966,0.32,0.14188154662039243,0.4981184533796076
100,4,scale_free,0.4,0.02916666666666666,0.02510898630450941,0.03322434702882391,0.016333333333333335,-0.0005419216100790054,0.03320858827674568,0.0455,0.02863832374434876,0.06236167625565124,0.033999999999999996,0.02959718567711053,0.03840281432288946,0.033999999999999996,0.02959718567711053,0.03840281432288946,0.033999999999999996,0.02959718567711053,0.03840281432288946,0.033999999999999996,0.02959718567711053,0.03840281432288946,0.015,-0.0009121451613653755,0.030912145161365374,0.11,0.04836465660389684,0.17163534339610315,0.11,0.04836465660389684,0.17163534339610315,0.16,0.06462879328273616,0.2553712067172639,0.9,-0.05472870968192256,1.8547287096819227
100,4,scale_free,0.5,0.039200000000000006,0.033358534347469215,0.045041465652530796,0.386,0.310403016895213,0.46159698310478703,0.42519999999999997,0.35009715485516885,0.500302845144831,0.044199999999999996,0.037938526510267225,0.05046147348973277,0.044199999999999996,0.037938526510267225,0.05046147348973277,0.044199999999999996,0.037938526510267225,0.05046147348973277,0.044199999999999996,0.037938526510267225,0.05046147348973277,0.38280000000000003,0.3078018035330654,0.45779819646693465,0.12,0.05598666805526627,0.18401333194473374,0.12,0.05598666805526627,0.18401333194473374,0.63,0.5096763220527752,0.7503236779472248,19.14,15.390090176653269,22.889909823346734
100,4,scale_free,0.6,0.05125000000000001,0.04403319336688326,0.058466806633116764,0.8300000000000002,0.7985282169028649,0.8614717830971355,0.88125,0.8507537098629815,0.9117462901370185,0.06775000000000002,0.05057286994373925,0.08492713005626079,0.06775000000000002,0.05057286994373925,0.08492713005626079,0.061000000000000006,0.05243274592274501,0.069567254077255,0.061000000000000006,0.05243274592274501,0.069567254077255,0.82025,0.7889195949305123,0.8515804050694877,0.18,0.10431990774558765,0.25568009225441235,0.18,0.10431990774558765,0.25568009225441235,1.15,1.060267963447616,1.2397320365523838,32.81,31.556783797220493,34.06321620277951
100,4,scale_free,0.7,0.05899999999999998,0.048918939449731386,0.06908106055026858,0.8869999999999999,0.8654032351011425,0.9085967648988573,0.9460000000000001,0.9272711111111112,0.964728888888889,0.267,0.1961119268087841,0.33788807319121594,0.28366666666666673,0.2105333232169776,0.35680001011635587,0.07899999999999999,0.06634723208041275,0.09165276791958722,0.07899999999999999,0.06634723208041275,0.09165276791958722,0.8653333333333333,0.8422873963254756,0.888379270341191,0.41,0.31311503019695275,0.5068849698030472,0.43,0.3324763090165764,0.5275236909834236,1.25,1.152,1.348,25.96,25.26862188976427,26.651378110235733
100,4,scale_free,0.8,0.08850000000000004,0.07465086029000105,0.10234913970999902,0.8919999999999999,0.8763199999999999,0.9076799999999999,0.9805000000000001,0.9736910994079275,0.9873089005920728,0.7325000000000002,0.654791337274238,0.8102086627257623,0.7325000000000002,0.654791337274238,0.8102086627257623,0.137,0.11062206891197021,0.1633779310880298,0.137,0.11062206891197021,0.1633779310880298,0.8474999999999998,0.8251102769787184,0.8698897230212812,0.79,0.7097654045748949,0.8702345954251052,0.79,0.7097654045748949,0.8702345954251052,1.4,1.263523117730733,1.536476882269267,16.95,16.502205539574373,17.397794460425626
100,4,scale_free,0.9,0.20700000000000002,0.17594651053293997,0.23805348946706006,0.791,0.7599665103672197,0.8220334896327803,0.998,0.9952421762349287,1.0007578237650714,0.9739999999999999,0.948678112952697,0.9993218870473027,0.9739999999999999,0.948678112952697,0.9993218870473027,0.9739999999999999,0.948678112952697,0.9993218870473027,0.9739999999999999,0.948678112952697,0.9993218870473027,0.62,0.5761288203482012,0.6638711796517988,0.98,0.9524217623492872,1.0075782376507127,0.98,0.9524217623492872,1.0075782376507127,1.73,1.5883470109989581,1.8716529890010418,6.2,5.761288203482012,6.638711796517988
100,4,small_world,0.1,0.0003333333333333333,-4.003927963957773e-05,0.0007067059463062444,0.00022222222222222223,-0.00021333333333333333,0.0006577777777777777,0.0005555555555555556,-1.3098120566390763e-05,0.001124209231677502,0.0003333333333333333,-4.003927963957773e-05,0.0007067059463062444,0.0003333333333333333,-4.003927963957773e-05,0.0007067059463062444,0.0003333333333333333,-4.003927963957773e-05,0.0007067059463062444,0.0003333333333333333,-4.003927963957773e-05,0.0007067059463062444,0.00022222222222222223,-0.00021333333333333333,0.0006577777777777777,0.0,0.0,0.0,0.0,0.0,0.0,0.01,-0.0096,0.0296,0.02,-0.0192,0.0592
100,4,small_world,0.2,0.0011250000000000001,0.0003389764120536327,0.0019110235879463676,0.002125,6.32382864073841e-05,0.004186761713592616,0.0032500000000000003,0.0009766295657519584,0.005523370434248042,0.0032500000000000003,0.0009766295657519584,0.005523370434248042,0.0032500000000000003,0.0009766295657519584,0.005523370434248042,0.0032500000000000003,0.0009766295657519584,0.005523370434248042,0.0032500000000000003,0.0009766295657519584,0.005523370434248042,0.0016250000000000001,0.00016182138251453863,0.0030881786174854617,0.05,0.007067588942712297,0.09293241105728771,0.05,0.007067588942712297,0.09293241105728771,0.07,0.006138394582780468,0.13386160541721953,0.13,0.01294571060116309,0.24705428939883692
100,4,small_world,0.3,0.004,0.002261620399232769,0.005738379600767231,0.012428571428571431,0.007592646940268739,0.017264495916874123,0.01642857142857143,0.011188361701871747,0.021668781155271113,0.013142857142857144,0.008807307127069765,0.017478407158644522,0.013571428571428573,0.009205027931833696,0.01793782921102345,0.013142857142857144,0.008807307127069765,0.017478407158644522,0.013571428571428573,0.009205027931833696,0.01793782921102345,0.010714285714285714,0.0067871205455378725,0.014641450883033556,0.21,0.12976540457489485,0.2902345954251051,0.22,0.1383986928209276,0.3016013071790724,0.31,0.19963429752487288,0.4203657024751271,0.75,0.4750984381876511,1.024901561812349
