num_nodes,mean_degree,trial,topology,corrupt_ratio,partition_seed,n_honest,n_corrupt,direct_honest,eligible_honest,unrecoverable_honest,hssp_rank_feasible_honest,hlcp_rank_feasible_honest,eligible_core_count,max_core_honest_size,mean_core_honest_size,direct_recovery_rate,hssp_eligible_rate,structural_attackable_rate,hssp_rank_attackable_rate,hlcp_rank_attackable_rate,hssp_tractable_attackable_rate,hlcp_tractable_attackable_rate,max_core_fraction,hssp_feasible_core_probability,hlcp_feasible_core_probability
100,4,1,scale_free,0.3,2203331419,70,30,2,0,68,0,0,0,0,0.0,0.02857142857142857,0.0,0.02857142857142857,0.02857142857142857,0.02857142857142857,0.02857142857142857,0.02857142857142857,0.0,0,0
100,4,1,er,0.4,2203331419,60,40,2,0,58,0,0,0,0,0.0,0.03333333333333333,0.0,0.03333333333333333,0.03333333333333333,0.03333333333333333,0.03333333333333333,0.03333333333333333,0.0,0,0
100,4,1,ring,0.4,2203331419,60,40,0,18,42,2,2,3,9,6.0,0.0,0.3,0.3,0.03333333333333333,0.03333333333333333,0.03333333333333333,0.03333333333333333,0.15,1,1
100,4,1,small_world,0.4,2203331419,60,40,3,0,57,0,0,0,0,0.0,0.05,0.0,0.05,0.05,0.05,0.05,0.05,0.0,0,0
100,4,1,scale_free,0.4,2203331419,60,40,2,0,58,0,0,0,0,0.0,0.03333333333333333,0.0,0.03333333333333333,0.03333333333333333,0.03333333333333333,0.03333333333333333,0.03333333333333333,0.0,0,0
100,4,1,er,0.5,2203331419,50,50,1,0,49,0,0,0,0,0.0,0.02,0.0,0.02,0.02,0.02,0.02,0.02,0.0,0,0
100,4,1,ring,0.5,2203331419,50,50,1,19,30,0,0,2,13,9.5,0.02,0.38,0.4,0.02,0.02,0.02,0.02,0.26,0,0
100,4,1,small_world,0.5,2203331419,50,50,1,37,12,0,0,2,31,18.5,0.02,0.74,0.76,0.02,0.02,0.02,0.02,0.62,0,0
100,4,1,scale_free,0.5,2203331419,50,50,0,0,50,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
100,4,1,er,0.6,2203331419,40,60,3,35,2,0,0,1,35,35.0,0.075,0.875,0.95,0.075,0.075,0.075,0.075,0.875,0,0
100,4,1,ring,0.6,2203331419,40,60,1,37,2,12,12,5,15,7.4,0.025,0.925,0.95,0.325,0.325,0.325,0.325,0.375,1,1
100,4,1,small_world,0.6,2203331419,40,60,2,37,1,0,0,3,22,12.333333333333334,0.05,0.925,0.975,0.05,0.05,0.05,0.05,0.55,0,0
100,4,1,scale_free,0.6,2203331419,40,60,3,0,37,0,0,0,0,0.0,0.075,0.0,0.075,0.075,0.075,0.075,0.075,0.0,0,0
100,4,1,er,0.7,2203331419,30,70,3,26,1,26,26,1,26,26.0,0.1,0.8666666666666667,0.9666666666666667,0.9666666666666667,0.9666666666666667,0.1,0.1,0.8666666666666667,1,1
100,4,1,ring,0.7,2203331419,30,70,4,21,5,17,17,4,8,5.25,0.13333333333333333,0.7,0.8333333333333334,0.7,0.7,0.7,0.7,0.26666666666666666,1,1
100,4,1,small_world,0.7,2203331419,30,70,3,27,0,2,2,2,25,13.5,0.1,0.9,1.0,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.8333333333333334,1,1
100,4,1,scale_free,0.7,2203331419,30,70,1,28,1,0,0,1,28,28.0,0.03333333333333333,0.9333333333333333,0.9666666666666667,0.03333333333333333,0.03333333333333333,0.03333333333333333,0.03333333333333333,0.9333333333333333,0,0
100,4,1,er,0.8,2203331419,20,80,5,15,0,15,15,2,13,7.5,0.25,0.75,1.0,1.0,1.0,0.35,0.35,0.65,1,1
100,4,1,ring,0.8,2203331419,20,80,4,16,0,16,16,5,5,3.2,0.2,0.8,1.0,1.0,1.0,1.0,1.0,0.25,1,1
100,4,1,small_world,0.8,2203331419,20,80,5,15,0,15,15,3,11,5.0,0.25,0.75,1.0,1.0,1.0,0.45,0.45,0.55,1,1
100,4,1,scale_free,0.8,2203331419,20,80,3,16,1,16,16,1,16,16.0,0.15,0.8,0.95,0.95,0.95,0.15,0.15,0.8,1,1
100,4,1,er,0.9,2203331419,10,90,4,6,0,6,6,1,6,6.0,0.4,0.6,1.0,1.0,1.0,1.0,1.0,0.6,1,1
100,4,1,ring,0.9,2203331419,10,90,6,4,0,4,4,1,4,4.0,0.6,0.4,1.0,1.0,1.0,1.0,1.0,0.4,1,1
100,4,1,small_world,0.9,2203331419,10,90,6,4,0,4,4,1,4,4.0,0.6,0.4,1.0,1.0,1.0,1.0,1.0,0.4,1,1
100,4,1,scale_free,0.9,2203331419,10,90,4,6,0,6,6,2,4,3.0,0.4,0.6,1.0,1.0,1.0,1.0,1.0,0.4,1,1
100,4,2,er,0.1,1531128707,90,10,0,0,90,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
100,4,2,ring,0.1,1531128707,90,10,0,0,90,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
100,4,2,small_world,0.1,1531128707,90,10,0,0,90,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
100,4,2,scale_free,0.1,1531128707,90,10,1,0,89,0,0,0,0,0.0,0.011111111111111112,0.0,0.011111111111111112,0.011111111111111112,0.011111111111111112,0.011111111111111112,0.011111111111111112,0.0,0,0
